2025-12-12 13:21:41,969 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47058/carnaval-2025-prefeitura-divulga-relacao-dos-nomes-escolhidos-para-a-corte-do-rei-momo-costura-e-decoracao
2025-12-12 13:21:42,534 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/47037/cidadania-moradores-do-morar-melhor-recebem-a-1a-edicao-do-projeto-vem-com-a-prefeitura
2025-12-12 13:21:43,124 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46940/carnaval-2025-prefeitura-de-porto-velho-define-estrategias-para-o-periodo-momesco
2025-12-12 13:21:43,688 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46913/110-anos-show-de-fogos-e-apresentacoes-musicais-encerram-comemoracoes-do-aniversario-de-porto-velho
2025-12-12 13:21:44,244 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46853/programacao-calendario-oficial-do-carnaval-2025-e-divulgado-pela-prefeitura-de-porto-velho
2025-12-12 13:21:44,782 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46835/carnaval-2025-prefeitura-de-porto-velho-lanca-edital-para-contratacao-de-servicos-especializados-em-decoracao-para-o-baile-municipal
2025-12-12 13:21:45,340 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46838/carnaval-2025-chamamento-publico-seleciona-costureiro-para-confeccao-das-fantasias-da-corte-do-rei-momo
2025-12-12 13:21:45,925 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46827/carnaval-2025-prefeitura-de-porto-velho-abre-inscricao-para-selecionar-a-corte-do-rei-momo
2025-12-12 13:21:46,593 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/noticias?page=8
2025-12-12 13:21:47,233 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46556/normas-municipio-divulga-regulamento-para-o-carnaval-de-rua-em-2025
2025-12-12 13:21:47,769 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46221/cultura-funcultural-promoveu-acoes-inclusivas-na-gestao-hildon-chaves
2025-12-12 13:21:48,305 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/46213/natal-porto-luz-parque-da-cidade-recebe-multidao-para-prestigiar-show-do-padre-alessandro-campos
